epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19993.6,0.64008,0.83287,0.97455,0.93587,0.82761,0.9002,0.77113,0.64372,0.52302,0.89753,0.000312497,0.000312497,0.000312497
43,20482.6,0.64534,0.81899,0.97543,0.87994,0.84257,0.86682,0.74059,0.66519,0.64528,0.90859,0.000307289,0.000307289,0.000307289
44,20959,0.62233,0.80217,0.96499,0.89988,0.85628,0.90802,0.76609,0.66285,0.5603,0.90991,0.000302082,0.000302082,0.000302082
45,21433,0.63737,0.80345,0.97421,0.91466,0.83915,0.89079,0.75046,0.66524,0.60771,0.90257,0.000296874,0.000296874,0.000296874
46,21907.9,0.62644,0.8139,0.96893,0.9162,0.8337,0.89515,0.76559,0.65483,0.58187,0.90019,0.000291667,0.000291667,0.000291667
47,22382.6,0.64386,0.81152,0.97382,0.93109,0.84818,0.91003,0.78228,0.6297,0.49723,0.8874,0.00028646,0.00028646,0.00028646
48,22856.8,0.62345,0.78855,0.96372,0.94688,0.8359,0.91108,0.77886,0.6401,0.47977,0.8911,0.000281252,0.000281252,0.000281252
49,23332.3,0.62091,0.77289,0.96435,0.94447,0.85425,0.90909,0.78004,0.65746,0.47354,0.89255,0.000276045,0.000276045,0.000276045
50,23807.6,0.6254,0.76838,0.96072,0.93479,0.83977,0.91241,0.7774,0.64705,0.48766,0.89638,0.000270837,0.000270837,0.000270837
51,24285.6,0.61356,0.7603,0.96217,0.92392,0.83161,0.90481,0.77837,0.63432,0.49095,0.88867,0.00026563,0.00026563,0.00026563
52,24763.1,0.61543,0.75137,0.95855,0.91021,0.84182,0.91082,0.77456,0.64993,0.53251,0.89984,0.000260423,0.000260423,0.000260423
53,25237.9,0.61151,0.73783,0.9569,0.92102,0.85142,0.91909,0.78582,0.65504,0.49543,0.90308,0.000255215,0.000255215,0.000255215
54,25711.3,0.61237,0.73786,0.96244,0.95046,0.85439,0.91469,0.78118,0.64373,0.48247,0.89582,0.000250008,0.000250008,0.000250008
55,26186.3,0.60761,0.73948,0.96013,0.93283,0.842,0.9185,0.78578,0.65065,0.49956,0.89504,0.0002448,0.0002448,0.0002448
56,26661.5,0.60636,0.72909,0.95704,0.94159,0.84206,0.90704,0.77694,0.64815,0.51314,0.89973,0.000239593,0.000239593,0.000239593
57,27134.9,0.60674,0.72187,0.95694,0.92632,0.84391,0.89815,0.76735,0.65464,0.51623,0.90515,0.000234386,0.000234386,0.000234386
58,27609.9,0.60715,0.74135,0.95499,0.9275,0.83205,0.89523,0.76172,0.64548,0.50607,0.90421,0.000229178,0.000229178,0.000229178
59,28085.8,0.60604,0.71052,0.9485,0.91951,0.86515,0.9235,0.78992,0.63582,0.45881,0.89316,0.000223971,0.000223971,0.000223971
